Day;Type;F0;Fj;Fm;FI;F300mks;F50mks;t(Fm);Vj;VI;phi P0 (Fv/Fm);phi E0;phi R0;phi D0;psi E0;dalta R0;M0;ABS/RC;TR0/RC;DI0/RC;ET0/RC;RE0/RC;RC/CS0;Am;SM;SS;N;Vav
7;K;0.81;1.652;3.203;2.749;1.562;0.942;166;0.35185959;0.810279983;0.747112082;0.484233531;0.141742117;0.252887918;0.64814041;0.292714378;1.256999582;4.781674182;3.572446556;1.209227626;2.315446974;0.67776462;0.169396736;40.747;17.02758044;0.279920213;60.83012111;0.897424214
7;K;0.77;1.7;3.065;2.623;1.522;0.896;152;0.405228758;0.807407407;0.748776509;0.445350734;0.144208809;0.251223491;0.594771242;0.323809524;1.310675381;4.319591445;3.234408602;1.085182843;1.923733221;0.622923138;0.178257599;35.48;15.45969499;0.309175532;50.00297046;0.89829148
7;K;0.8;1.701;2.981;2.68;1.528;0.894;195;0.413113251;0.861989913;0.73163368;0.429386112;0.100972828;0.26836632;0.586886749;0.23515625;1.335167354;4.41746269;3.231964484;1.185498206;1.896797129;0.4460437;0.181099436;34.687;15.9041724;0.309409341;51.40172034;0.918440142
7;K;0.783;1.714;3.01;2.682;1.631;0.932;168;0.41805119;0.852716659;0.73986711;0.430564784;0.1089701;0.26013289;0.58194881;0.25308642;1.523125281;4.924390005;3.6433942;1.280995805;2.120268919;0.53661127;0.159004465;34.719;15.59003143;0.27446934;56.8006301;0.907202194
7;Fe-;0.879;1.805;2.016;1.914;1.678;1.061;116;0.814423923;0.910290237;0.563988095;0.104662698;0.050595238;0.436011905;0.185576077;0.483412322;2.810905893;6.119639611;3.451403888;2.668235723;0.640497995;0.309624623;0.143635909;3.1;2.726473175;0.289737171;9.410160116;0.976495921
7;Fe-;1.349;2.532;3.141;3.035;2.452;1.591;113;0.66015625;0.940848214;0.570518943;0.193887297;0.033747214;0.429481057;0.33984375;0.174055829;2.462053571;6.537033193;3.729501268;2.807531925;1.267447697;0.22060666;0.206362728;2.355;1.314174107;0.268132366;4.901213999;0.988370141
7;Fe-;0.971;1.742;1.917;1.87;1.674;1.17;103;0.815010571;0.950317125;0.493479395;0.091288472;0.024517475;0.506520605;0.184989429;0.268571429;2.972515856;7.390807907;3.647211414;3.743596493;0.674695558;0.18120395;0.131379412;1.435;1.516913319;0.274182077;5.532503572;0.985272686
7;Fe-;1.088;1.883;2.194;2.082;1.856;1.247;106;0.71880651;0.898734177;0.504102097;0.141750228;0.051048314;0.495897903;0.28119349;0.360128617;2.777576854;7.665413354;3.864150943;3.801262411;1.08657409;0.391306425;0.141936247;8.136;7.356238698;0.258789063;28.4256167;0.930601522
7;Fe+N-;0.757;1.71;2.901;2.612;1.571;0.9;136;0.444496269;0.865205224;0.739055498;0.410548087;0.09962082;0.260944502;0.555503731;0.242653233;1.518656716;4.622899406;3.416579224;1.206320183;1.897922507;0.460537032;0.163750048;25.546;11.91511194;0.292690418;40.7089239;0.912388883
7;Fe+N-;0.786;1.813;2.82;2.578;1.579;0.918;170;0.504916421;0.881022616;0.721276596;0.357092199;0.085815603;0.278723404;0.495083579;0.240317776;1.559488692;4.282140323;3.088607595;1.193532728;1.529118903;0.367474453;0.183553069;25.919;12.74287119;0.323770492;39.35772874;0.925041934
